tbl_old,tbl_new,fld_old,fld_new
hspen_r,spp_prefs,OxyYN,oxy_yn
hspen_r,spp_prefs,OxyMin,oxy_min
hspen_r,spp_prefs,OxyPrefMin,oxy_pref_min
hspen_r,spp_prefs,OxyPrefMax,oxy_pref_max
hspen_r,spp_prefs,OxyMax,oxy_max
hspen_r,spp_prefs,LandDistYN,land_dist_yn
hspen_r,spp_prefs,LandDistMin,land_dist_min
hspen_r,spp_prefs,LandDistPrefMin,land_dist_pref_min
hspen_r,spp_prefs,LandDistPrefMax,land_dist_pref_max
hspen_r,spp_prefs,LandDistMax,land_dist_max
hspen_r,spp_prefs,Remark,remark
hspen_r,spp_prefs,DateCreated,date_created
hspen_r,spp_prefs,DateModified,date_modified
hspen_r,spp_prefs,expert_id,expert_id
hspen_r,spp_prefs,DateExpert,date_expert
hspen_r,spp_prefs,Layer,layer
hspen_r,spp_prefs,Rank,rank
hspen_r,spp_prefs,MapOpt,map_opt
hspen_r,spp_prefs,ExtnRuleYN,extn_rule_yn
hspen_r,spp_prefs,Reviewed,reviewed
occurrencecells_r,spp_occs,RecordID,occ_id
occurrencecells_r,spp_occs,CsquareCode,csquare_code
occurrencecells_r,spp_occs,SpeciesID,sp_key
occurrencecells_r,spp_occs,SpecCode,sp_int
occurrencecells_r,spp_occs,GoodCell,good_cell
occurrencecells_r,spp_occs,InFAOArea,in_fao_area
occurrencecells_r,spp_occs,InBoundBox,in_bound_box
occurrencecells_r,spp_occs,GBIF_YN,gbif_yn
occurrencecells_r,spp_occs,OBIS_YN,obis_yn
occurrencecells_r,spp_occs,FBSLB_YN,fbslb_yn
occurrencecells_r,spp_occs,CountryPoint_YN,country_point_yn
occurrencecells_r,spp_occs,AWI_YN,awi_yn
occurrencecells_r,spp_occs,IATTC_YN,iattc_yn
occurrencecells_r,spp_occs,UWA_YN,uwa_yn
occurrencecells_r,spp_occs,CenterLat,center_lat
occurrencecells_r,spp_occs,CenterLong,center_long
occurrencecells_r,spp_occs,FAOAreaM,fao_area_m
speciesoccursum_r,spp,SpeciesID,sp_key
speciesoccursum_r,spp,SpecCode,sp_int
speciesoccursum_r,spp,Genus,genus
speciesoccursum_r,spp,Species,species
speciesoccursum_r,spp,FBname,common_name
speciesoccursum_r,spp,OccurRecs,occur_recs
speciesoccursum_r,spp,OccurCells,occur_cells
speciesoccursum_r,spp,StockDefs,stock_defs
speciesoccursum_r,spp,Kingdom,kingdom
speciesoccursum_r,spp,Phylum,phylum
speciesoccursum_r,spp,Class,class
speciesoccursum_r,spp,Order,order
speciesoccursum_r,spp,Family,family
speciesoccursum_r,spp,deepwater,deepwater
speciesoccursum_r,spp,angling,angling
speciesoccursum_r,spp,diving,diving
speciesoccursum_r,spp,dangerous,dangerous
speciesoccursum_r,spp,m_invertebrates,m_invertebrates
speciesoccursum_r,spp,highseas,highseas
speciesoccursum_r,spp,invasive,invasive
speciesoccursum_r,spp,resilience,resilience
speciesoccursum_r,spp,iucn_id,iucn_id
speciesoccursum_r,spp,iucn_code,iucn_code
speciesoccursum_r,spp,iucn_version,iucn_version
speciesoccursum_r,spp,provider,provider
